Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (mins),Avg CTAT (mins),Cancelled by Customer,Customer Cancellation Reason,Cancelled by Driver,Driver Cancellation Reason,Incomplete Ride,Incomplete Ride Reason,Booking Value (₹),Ride Distance (km),Driver Rating,Customer Rating
16-01-2026,12:15:00,CNR0000049,Incomplete,CUST29342,eBike,Bellandur,Koramangala,,,No,,No,,Yes,Customer Demand,609.2,,,
26-01-2026,22:33:00,CNR0000050,Incomplete,CUST70889,Auto,Peenya,MG Road,,,No,,No,,Yes,Customer Demand,419.77,,,
22-01-2026,16:35:00,CNR0000051,Successful,CUST88047,Prime Sedan,OMR Road,Brookefield,6.9,6.8,No,,No,,No,,751.88,27,4.7,4.3
29-01-2026,05:47:00,CNR0000052,Successful,CUST72216,Mini,Connaught Place,OMR Road,10.7,6.3,No,,No,,No,,405.56,27.1,4.3,4.4
09-01-2026,14:04:00,CNR0000053,Successful,CUST47450,Prime Plus,Shivajinagar,Basavanagudi,6.6,5.5,No,,No,,No,,155.21,8.4,3.8,4.5
23-01-2026,06:04:00,CNR0000054,Successful,CUST64377,Mini,Basavanagudi,Rachenahalli,10.5,5.6,No,,No,,No,,432.32,26.1,4.1,4.7
31-01-2026,22:01:00,CNR0000055,Incomplete,CUST85456,Mini,Hebbal,Koramangala,,,No,,No,,Yes,Vehicle Breakdown,925.87,,,
31-01-2026,13:34:00,CNR0000056,Successful,CUST81582,Prime SUV,Vidyaranyapura,Cubbon Park,8,5.6,No,,No,,No,,293.77,13.7,4.1,4.5
26-01-2026,12:46:00,CNR0000057,Incomplete,CUST31632,Prime SUV,Outer Ring Road,Rajajinagar,,,No,,No,,Yes,Other Issue,257.21,,,
19-01-2026,21:01:00,CNR0000058,Cancelled by Driver,CUST21003,eBike,Sarjapur,Rajajinagar,,,No,,Yes,Customer related issue,No,,251.26,,,
07-01-2026,14:20:00,CNR0000059,Cancelled by Driver,CUST54236,Prime SUV,Kengeri,Shivajinagar,,,No,,Yes,More than permitted people in there,No,,132.68,,,
01-01-2026,23:34:00,CNR0000060,Successful,CUST16826,Prime Sedan,Cubbon Park,Kolar Road,7.2,5.6,No,,No,,No,,520.09,11.5,3.5,3.9
27-01-2026,00:39:00,CNR0000061,Cancelled by Customer,CUST29973,Prime Plus,Rajajinagar,Hebbal,,,Yes,Wrong Address,No,,No,,732.05,,,
09-01-2026,11:10:00,CNR0000062,Successful,CUST89415,Bike,Hosur Road,HSR Layout,7.7,6.6,No,,No,,No,,981.4,16.5,3.7,3.5
10-01-2026,18:43:00,CNR0000063,Successful,CUST59192,Mini,HSR Layout,Frazer Town,6.1,8.1,No,,No,,No,,350.27,29.2,3.7,4.7
28-01-2026,21:38:00,CNR0000064,Successful,CUST25866,Prime SUV,Jakkur,Whitefield,4.2,6,No,,No,,No,,247.86,10,4.3,4
28-01-2026,13:52:00,CNR0000065,Cancelled by Customer,CUST74251,Auto,Sarjapur,Chamrajpet,,,Yes,Change of plans,No,,No,,717.31,,,
24-01-2026,16:41:00,CNR0000066,Successful,CUST45400,Bike,Rachenahalli,Mahadevapura,8.2,5.4,No,,No,,No,,391.68,16.1,3.9,4.8
27-01-2026,02:17:00,CNR0000067,Successful,CUST69087,Prime Plus,OMR Road,Outer Ring Road,7.6,6.5,No,,No,,No,,234.22,6.1,4.2,4
16-01-2026,06:22:00,CNR0000068,Cancelled by Driver,CUST43862,Prime Sedan,Shivajinagar,Vidyaranyapura,,,No,,Yes,The customer was coughing/sick,No,,306.13,,,
07-01-2026,02:15:00,CNR0000069,Successful,CUST63271,Mini,Peenya,OMR Road,8.7,6,No,,No,,No,,384.03,8.8,4.2,3.5
10-01-2026,07:25:00,CNR0000070,Successful,CUST41890,Prime Sedan,Tumkur Road,Yelahanka,10.3,7.1,No,,No,,No,,237.16,8.7,5,4.3
12-01-2026,22:29:00,CNR0000071,Successful,CUST45509,Prime Sedan,Connaught Place,Cubbon Park,6.4,8.1,No,,No,,No,,147.7,19.7,4.3,4.6
06-01-2026,06:13:00,CNR0000072,Incomplete,CUST73464,Prime Sedan,Koramangala Extension,Yelahanka,,,No,,No,,Yes,Other Issue,491.22,,,
27-01-2026,06:18:00,CNR0000073,Successful,CUST39816,Prime Sedan,Ulsoor,City Market,9.2,9.3,No,,No,,No,,209.45,4.5,5,4.3
23-01-2026,04:40:00,CNR0000074,Successful,CUST74340,Auto,Koramangala,Jakkur,7,7.4,No,,No,,No,,235.94,7.2,4.9,3.9
28-01-2026,15:07:00,CNR0000075,Successful,CUST18564,Mini,Kalyan Nagar,Electronic City,8.2,5.2,No,,No,,No,,160.54,21,4.7,4.9
03-01-2026,07:07:00,CNR0000076,Successful,CUST83147,Prime SUV,Varthur,Vidyaranyapura,8,5.5,No,,No,,No,,409.5,8.3,4.1,4.9
10-01-2026,18:27:00,CNR0000077,Successful,CUST50026,Bike,Bagalur,Marathahalli,5.9,6.7,No,,No,,No,,972.85,21.3,3.8,3.8
22-01-2026,02:10:00,CNR0000078,Successful,CUST41439,Prime Plus,Peenya,Electronic City,9.2,5.8,No,,No,,No,,375.06,5.9,4.2,3.5
10-01-2026,22:18:00,CNR0000079,Incomplete,CUST69510,Auto,Whitefield Phase,Cubbon Park,,,No,,No,,Yes,Other Issue,420.76,,,
07-01-2026,13:07:00,CNR0000080,Incomplete,CUST81376,Prime Plus,Kolar Road,Yeshwantpur,,,No,,No,,Yes,Customer Demand,166.2,,,
10-01-2026,19:47:00,CNR0000081,Successful,CUST84607,Prime Sedan,Brookefield,Jayanagar,6.4,5.5,No,,No,,No,,260.6,27.9,3.9,4.3
15-01-2026,02:38:00,CNR0000082,Successful,CUST15224,Mini,Hosur Road,Vijayanagar,7.3,6.8,No,,No,,No,,191.34,20.5,4.5,4.8
19-01-2026,00:48:00,CNR0000083,Successful,CUST98117,Prime SUV,Shivajinagar,Jakkur,8.5,8,No,,No,,No,,734.78,16.8,4.5,4.9
06-01-2026,18:27:00,CNR0000084,Successful,CUST93202,Prime SUV,Kalyan Nagar,Bannerghatta Road,7.4,5.7,No,,No,,No,,228.1,27.1,3.7,3.7
14-01-2026,22:31:00,CNR0000085,Successful,CUST47777,eBike,Rammurthy Nagar,OMR Road,8.5,7.2,No,,No,,No,,225.49,11.5,4,5
13-01-2026,16:52:00,CNR0000086,Successful,CUST10150,eBike,Rachenahalli,Outer Ring Road,10.6,4.7,No,,No,,No,,244.35,27.1,4.6,4.4
25-01-2026,01:13:00,CNR0000087,Successful,CUST45003,Bike,Rajajinagar,Chickpet,8.5,6.5,No,,No,,No,,148.45,20,5,4.4
08-01-2026,22:10:00,CNR0000088,Successful,CUST50730,Bike,Koramangala,Peenya,8.5,7.3,No,,No,,No,,435.72,2.3,3.7,4.9
21-01-2026,04:31:00,CNR0000089,Successful,CUST48254,Bike,HSR Layout,Shivajinagar,8.6,4.9,No,,No,,No,,288.42,2.1,4.2,3.7
07-01-2026,19:32:00,CNR0000090,Cancelled by Driver,CUST27892,Prime SUV,Electronic City,Shivajinagar,,,No,,Yes,More than permitted people in there,No,,414.3,,,
09-01-2026,00:18:00,CNR0000091,Successful,CUST49132,Prime SUV,Yelahanka,Tumkur Road,8.3,4.2,No,,No,,No,,314.89,21.4,4,4.3
18-01-2026,12:29:00,CNR0000092,Successful,CUST52176,Prime SUV,Frazer Town,Bellandur,5.6,7,No,,No,,No,,441.55,21.9,4.1,4
16-01-2026,22:58:00,CNR0000093,Incomplete,CUST59968,Mini,Tumkur Road,Kolar Road,,,No,,No,,Yes,Vehicle Breakdown,563,,,
31-01-2026,18:21:00,CNR0000094,Successful,CUST23154,Prime SUV,Brookefield,JP Nagar,6.5,4.3,No,,No,,No,,388.26,22.9,4.1,4.5
05-01-2026,02:30:00,CNR0000095,Successful,CUST44737,Prime Sedan,Bagalur,Bellandur,9.9,6.6,No,,No,,No,,231.1,20.4,4.5,4.3
31-01-2026,10:40:00,CNR0000096,Successful,CUST73956,Prime SUV,Rachenahalli,Whitefield,6.3,6.2,No,,No,,No,,373.08,12.3,3.9,3.8
03-01-2026,13:06:00,CNR0000097,Successful,CUST93066,eBike,JP Nagar,Brookefield,6.2,4.8,No,,No,,No,,111.55,29.2,4,3.6
12-01-2026,11:27:00,CNR0000098,Successful,CUST29080,Prime Plus,Kamakhya,Varthur,9.8,5.6,No,,No,,No,,584.82,19.7,3.6,4.8
20-01-2026,21:15:00,CNR0000099,Successful,CUST75230,Bike,Yeshwantpur,Cubbon Park,8,8.2,No,,No,,No,,201.88,18.2,3.5,4.7
29-01-2026,09:43:00,CNR0000100,Incomplete,CUST81643,Prime Plus,Electronic City,Brookefield,,,No,,No,,Yes,Other Issue,483.85,,,
23-01-2026,08:29:00,CNR0000101,Successful,CUST49599,Prime Plus,Kengeri,Hebbal,5.2,5.9,No,,No,,No,,243.22,22.2,3.9,4.5
01-01-2026,21:25:00,CNR0000102,Cancelled by Driver,CUST45976,Auto,Jakkur,Whitefield Phase,,,No,,Yes,Personal & Car related issues,No,,871.84,,,
27-01-2026,09:49:00,CNR0000103,Cancelled by Customer,CUST40162,Bike,Gavipuram,Cubbon Park,,,Yes,Wrong Address,No,,No,,401.48,,,
25-01-2026,21:43:00,CNR0000104,Cancelled by Customer,CUST27927,eBike,JP Nagar,Devanahalli,,,Yes,Change of plans,No,,No,,516.65,,,
12-01-2026,23:08:00,CNR0000105,Successful,CUST21813,Prime Sedan,Vijayanagar,Hosur Road,5.9,6.7,No,,No,,No,,413.82,28.3,4.8,4
17-01-2026,08:53:00,CNR0000106,Cancelled by Driver,CUST31567,Prime Sedan,Hebbal,Chickpet,,,No,,Yes,The customer was coughing/sick,No,,733.7,,,
03-01-2026,04:48:00,CNR0000107,Cancelled by Customer,CUST39571,Prime SUV,Whitefield Phase,Koramangala Extension,,,Yes,Change of plans,No,,No,,901.49,,,
12-01-2026,02:50:00,CNR0000108,Successful,CUST61717,Auto,Connaught Place,Rachenahalli,7.8,7.1,No,,No,,No,,398.86,29.1,3.9,4.1
21-01-2026,11:06:00,CNR0000109,Successful,CUST98452,Prime Plus,Hebbal,Indiranagar,6.3,3.7,No,,No,,No,,663.68,25.8,4.4,4.5
21-01-2026,14:58:00,CNR0000110,Successful,CUST49608,eBike,Varthur,Jayanagar,6.1,5.2,No,,No,,No,,651.88,17.6,4.2,3.6
29-01-2026,17:08:00,CNR0000111,Incomplete,CUST60940,Mini,Chamrajpet,Tumkur Road,,,No,,No,,Yes,Other Issue,709.14,,,
24-01-2026,23:09:00,CNR0000112,Successful,CUST64379,eBike,JP Nagar,Kalyan Nagar,8.3,6.6,No,,No,,No,,639.59,18,4.5,3.8
15-01-2026,07:54:00,CNR0000113,Successful,CUST57537,Auto,Whitefield Phase,Chamrajpet,8.5,4.8,No,,No,,No,,678.98,29.7,4.1,3.8
04-01-2026,14:05:00,CNR0000114,Successful,CUST96870,Prime Plus,Kolar Road,Devanahalli,8.1,4.3,No,,No,,No,,413.93,26.6,3.9,3.7
19-01-2026,06:04:00,CNR0000115,Cancelled by Driver,CUST82641,Prime Plus,Yelahanka,Richmond Town,,,No,,Yes,Customer related issue,No,,158.87,,,
29-01-2026,19:00:00,CNR0000116,Successful,CUST46342,Prime SUV,Yeshwantpur,Rajajinagar,9.7,7.6,No,,No,,No,,554.85,21.7,4.8,3.7
12-01-2026,07:37:00,CNR0000117,Successful,CUST52437,Auto,Ulsoor,Connaught Place,5.2,4.6,No,,No,,No,,762.52,24.7,4.6,4.2
25-01-2026,11:32:00,CNR0000118,Successful,CUST87812,Auto,Brookefield,Banaswadi,8.6,6.4,No,,No,,No,,390.17,27.6,4.9,4.5
10-01-2026,14:41:00,CNR0000119,Successful,CUST14082,Auto,Hebbal,Rammurthy Nagar,9,11.8,No,,No,,No,,384.25,24.4,4.2,4.8
11-01-2026,19:09:00,CNR0000120,Cancelled by Customer,CUST18609,Prime Plus,Shivajinagar,Bagalur,,,Yes,Wrong Address,No,,No,,690.07,,,
20-01-2026,16:18:00,CNR0000121,Successful,CUST69469,Bike,Vidyaranyapura,Sarjapur,10.7,7.5,No,,No,,No,,925.54,24.3,4.5,4.7
24-01-2026,06:27:00,CNR0000122,Cancelled by Driver,CUST69186,Prime Plus,Varthur,Basavanagudi,,,No,,Yes,More than permitted people in there,No,,137.94,,,
14-01-2026,10:42:00,CNR0000123,Incomplete,CUST43408,Prime Sedan,Yeshwantpur,Whitefield Phase,,,No,,No,,Yes,Customer Demand,134.06,,,
14-01-2026,03:47:00,CNR0000124,Successful,CUST58843,Prime SUV,Rajajinagar,Peenya,7.4,7.1,No,,No,,No,,780.28,12.5,4.5,4.1
28-01-2026,21:48:00,CNR0000125,Incomplete,CUST65435,Prime SUV,Koramangala Extension,Marathahalli,,,No,,No,,Yes,Other Issue,141.34,,,
17-01-2026,06:09:00,CNR0000126,Successful,CUST96079,Mini,Cubbon Park,JP Nagar,8.3,4.7,No,,No,,No,,145.84,3,3.9,3.8
14-01-2026,17:49:00,CNR0000127,Successful,CUST91490,Bike,Whitefield Phase,Kolar Road,12.6,3.2,No,,No,,No,,362.47,10,4.5,3.5
09-01-2026,22:48:00,CNR0000128,Successful,CUST50499,Prime Sedan,Gavipuram,Koramangala,7.2,6.1,No,,No,,No,,362.28,3,3.6,4.6
01-01-2026,02:47:00,CNR0000129,Successful,CUST79531,Prime Plus,Kengeri,Varthur,7.1,7.6,No,,No,,No,,224.34,5.6,4,4.9
20-01-2026,02:56:00,CNR0000130,Successful,CUST16895,Prime Plus,Malleshwaram,OMR Road,11.1,6.2,No,,No,,No,,208.57,8,4.5,4.2
15-01-2026,13:17:00,CNR0000131,Successful,CUST38255,Prime SUV,Banaswadi,Jayanagar,6.5,6.3,No,,No,,No,,370.61,3.4,4.4,4.3
10-01-2026,01:14:00,CNR0000132,Successful,CUST61807,Bike,Marathahalli,Koramangala,12.8,8.8,No,,No,,No,,882.91,19.8,4.6,3.9
04-01-2026,00:31:00,CNR0000133,Successful,CUST66446,Prime Plus,Rajajinagar,Kengeri,3.9,6.3,No,,No,,No,,322.93,24.3,4.5,4
13-01-2026,23:02:00,CNR0000134,Cancelled by Driver,CUST67176,Auto,Outer Ring Road,Electronic City,,,No,,Yes,More than permitted people in there,No,,383.09,,,
14-01-2026,09:07:00,CNR0000135,Cancelled by Driver,CUST63088,Auto,Vijayanagar,Malleshwaram,,,No,,Yes,More than permitted people in there,No,,958.97,,,
03-01-2026,13:54:00,CNR0000136,Successful,CUST23875,Prime Plus,Sarjapur,Yelahanka,7.1,3.5,No,,No,,No,,447.34,4.2,4.6,3.8
25-01-2026,05:04:00,CNR0000137,Successful,CUST76910,eBike,Jayanagar,Kamakhya,9,7.3,No,,No,,No,,674.34,13.5,4.6,4.7
27-01-2026,04:15:00,CNR0000138,Successful,CUST23474,Prime Plus,Connaught Place,Frazer Town,7.3,5.5,No,,No,,No,,402.9,9,3.6,4.9
21-01-2026,15:29:00,CNR0000139,Cancelled by Customer,CUST83889,Prime SUV,Yelahanka,Brookefield,,,Yes,Wrong Address,No,,No,,493.63,,,
11-01-2026,20:20:00,CNR0000140,Successful,CUST29786,Mini,Electronic City,Hebbal,11.5,6.6,No,,No,,No,,209.59,20.5,3.6,4.3
10-01-2026,14:28:00,CNR0000141,Successful,CUST14929,Auto,Chamrajpet,Chickpet,8.8,8.5,No,,No,,No,,926.79,19.1,4.4,4.3
15-01-2026,18:35:00,CNR0000142,Successful,CUST15376,Mini,Jakkur,Kolar Road,5,5.3,No,,No,,No,,300.05,12,4.9,4.2
26-01-2026,10:45:00,CNR0000143,Successful,CUST21053,Bike,Kolar Road,Ulsoor,7.5,8.8,No,,No,,No,,994.5,4.7,4.3,4.4
12-01-2026,11:58:00,CNR0000144,Successful,CUST47079,Mini,Varthur,Mahadevapura,1.5,4.5,No,,No,,No,,414.9,6.8,4.5,3.6
04-01-2026,17:43:00,CNR0000145,Cancelled by Driver,CUST60667,Prime Sedan,Connaught Place,Koramangala Extension,,,No,,Yes,Customer related issue,No,,332.51,,,
05-01-2026,11:19:00,CNR0000146,Successful,CUST95990,eBike,Tumkur Road,Rammurthy Nagar,4,4,No,,No,,No,,542.27,19.2,4.3,4.5
11-01-2026,04:42:00,CNR0000147,Cancelled by Customer,CUST99838,Bike,Bannerghatta Road,Kolar Road,,,Yes,Wrong Address,No,,No,,244.68,,,
06-01-2026,06:21:00,CNR0000148,Successful,CUST73736,Prime Plus,Cubbon Park,Rajajinagar,7.1,6.2,No,,No,,No,,414.46,12.5,4.3,4.3
24-01-2026,16:02:00,CNR0000149,Successful,CUST96760,Prime Sedan,Mahadevapura,Bagalur,8.1,9.5,No,,No,,No,,164.74,26,4.7,4.7
26-01-2026,05:46:00,CNR0000150,Cancelled by Customer,CUST67366,Auto,Varthur,Chamrajpet,,,Yes,Driver asked to cancel,No,,No,,804.69,,,
25-01-2026,23:50:00,CNR0000151,Successful,CUST68841,Prime Plus,Rachenahalli,MG Road,6,6.7,No,,No,,No,,734.04,4,4.8,4.1
31-01-2026,18:28:00,CNR0000152,Successful,CUST70513,Prime SUV,Chickpet,Mahadevapura,7.6,6.1,No,,No,,No,,485.54,18.4,4.7,4.7
05-01-2026,08:03:00,CNR0000153,Incomplete,CUST94040,Mini,Chamrajpet,Peenya,,,No,,No,,Yes,Other Issue,924.73,,,
10-01-2026,02:48:00,CNR0000154,Successful,CUST31012,Prime Sedan,Brookefield,Banaswadi,8.2,7,No,,No,,No,,477.62,12.9,3.8,4.2
12-01-2026,00:26:00,CNR0000155,Successful,CUST16980,Mini,Banaswadi,Chamrajpet,6.8,9.2,No,,No,,No,,1374.91,17.3,3.5,4.9
27-01-2026,22:41:00,CNR0000156,Successful,CUST53947,Prime SUV,Yeshwantpur,Rajajinagar,7.7,6.9,No,,No,,No,,735.76,28.9,4.7,4.6
16-01-2026,14:39:00,CNR0000157,Successful,CUST10688,Auto,Indiranagar,Connaught Place,7,6.3,No,,No,,No,,475.15,10.9,4.4,4.1
25-01-2026,09:15:00,CNR0000158,Successful,CUST49472,Auto,Marathahalli,MG Road,6.8,7.3,No,,No,,No,,728.1,5.3,3.7,4.9
20-01-2026,17:01:00,CNR0000159,Cancelled by Driver,CUST92831,Bike,Jakkur,MG Road,,,No,,Yes,The customer was coughing/sick,No,,345.31,,,
08-01-2026,18:26:00,CNR0000160,Successful,CUST34551,eBike,Tumkur Road,Bannerghatta Road,9.9,8.2,No,,No,,No,,480.41,26.6,4.3,4.7
17-01-2026,17:01:00,CNR0000161,Cancelled by Customer,CUST61177,Prime SUV,Hebbal,Whitefield,,,Yes,AC is not working,No,,No,,106.48,,,
26-01-2026,02:22:00,CNR0000162,Successful,CUST41604,eBike,Tumkur Road,Devanahalli,9.6,6.9,No,,No,,No,,401.91,9.9,3.7,4
11-01-2026,20:11:00,CNR0000163,Cancelled by Customer,CUST99742,Mini,Bellandur,Hebbal,,,Yes,Driver asked to cancel,No,,No,,409.7,,,
15-01-2026,01:18:00,CNR0000164,Successful,CUST36422,Auto,Frazer Town,Whitefield,9.1,4.9,No,,No,,No,,258.89,24.6,4.7,4.2
02-01-2026,20:12:00,CNR0000165,Cancelled by Driver,CUST47501,Prime Sedan,Mahadevapura,Marathahalli,,,No,,Yes,The customer was coughing/sick,No,,418.94,,,
14-01-2026,12:47:00,CNR0000166,Successful,CUST67637,Mini,Basavanagudi,Ulsoor,8,6.2,No,,No,,No,,468.8,12.4,4.3,4.7
24-01-2026,13:05:00,CNR0000167,Successful,CUST66440,Bike,Ulsoor,Rachenahalli,6.7,7.7,No,,No,,No,,230.84,28.1,3.9,4.2
